rank,root_id,cell_type,pattern,current_predicted_nt,verified_nt,E1_confident_wrongness,E2_evidence_for_correct,suspicion_score,score_type,evidence_source,evidence_confidence,proposed_action
1,541855,hDeltaK,ORN_SER_confusion,SER,ACH,0.75,,0.75,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
2,23858,hDeltaK,ORN_SER_confusion,SER,ACH,0.73,,0.73,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
3,24153,hDeltaK,ORN_SER_confusion,SER,ACH,0.71,,0.71,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
4,23083,hDeltaK,ORN_SER_confusion,SER,ACH,0.71,,0.71,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
5,536264,hDeltaK,ORN_SER_confusion,SER,ACH,0.69,,0.69,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
6,13914,hDeltaK,ORN_SER_confusion,SER,ACH,0.69,,0.69,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
7,24963,hDeltaK,ORN_SER_confusion,SER,ACH,0.68,,0.68,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
8,24314,hDeltaK,ORN_SER_confusion,SER,ACH,0.66,,0.66,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
9,25036,hDeltaK,ORN_SER_confusion,SER,ACH,0.65,,0.65,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
10,568471,hDeltaK,ORN_SER_confusion,SER,ACH,0.65,,0.65,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
11,26242,hDeltaK,ORN_SER_confusion,SER,ACH,0.65,,0.65,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
12,26064,hDeltaK,ORN_SER_confusion,SER,ACH,0.64,,0.64,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
13,27425,hDeltaK,ORN_SER_confusion,SER,ACH,0.64,,0.64,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
14,25024,hDeltaK,ORN_SER_confusion,SER,ACH,0.64,,0.64,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
15,514184,hDeltaK,ORN_SER_confusion,SER,ACH,0.64,,0.64,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
16,25176,hDeltaK,ORN_SER_confusion,SER,ACH,0.63,,0.63,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
17,529142,hDeltaK,ORN_SER_confusion,SER,ACH,0.63,,0.63,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
18,41715,hDeltaK,ORN_SER_confusion,SER,ACH,0.63,,0.63,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
19,25137,hDeltaK,ORN_SER_confusion,SER,ACH,0.62,,0.62,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
20,29648,hDeltaK,ORN_SER_confusion,SER,ACH,0.61,,0.61,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
21,52191,hDeltaK,ORN_SER_confusion,SER,ACH,0.61,,0.61,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
22,26429,hDeltaK,ORN_SER_confusion,SER,ACH,0.6,,0.6,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
23,24671,hDeltaK,ORN_SER_confusion,SER,ACH,0.6,,0.6,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
24,543211,Dm9,Dm_GLUT_confusion,ACH,GLUT,0.6,,0.6,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted ACH, literature verifies GLUT (source: nan, confidence nan/5)"
25,23359,hDeltaK,ORN_SER_confusion,SER,ACH,0.59,,0.59,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
26,27133,hDeltaK,ORN_SER_confusion,SER,ACH,0.58,,0.58,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
27,56542,hDeltaK,ORN_SER_confusion,SER,ACH,0.58,,0.58,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
28,28782,hDeltaK,ORN_SER_confusion,SER,ACH,0.57,,0.57,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
29,40565,hDeltaK,ORN_SER_confusion,SER,ACH,0.57,,0.57,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
30,36059,hDeltaK,ORN_SER_confusion,SER,ACH,0.57,,0.57,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
31,27106,hDeltaK,ORN_SER_confusion,SER,ACH,0.57,,0.57,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
32,41743,hDeltaK,ORN_SER_confusion,SER,ACH,0.51,,0.51,E1_only (MCNS has no per-category probability breakdown),,,"Review for relabel: classifier predicted SER, literature verifies ACH (source: nan, confidence nan/5)"
