cell_type,n_neurons,dominant_nt,best_pattern,best_p_calibrated
LMa3,19,GABA,Dm_GLUT_confusion,0.0021849955847813
Sm04,103,GABA,Dm_GLUT_confusion,0.0021849955847813
LPi07,64,GABA,Dm_GLUT_confusion,0.0021849955847813
Sm19,24,ACH,histamine_blindspot,0.0021849955847813
SA_VTV_5,12,GLUT,histamine_blindspot,0.006545433704972
CRE056,10,GABA,Dm_GLUT_confusion,0.006545433704972
vDeltaA_b,17,SER,ORN_SER_confusion,0.0072647702870902
ocellar_retinula_cell,125,SER,ORN_SER_confusion,0.0072647702870902
LB1c,10,SER,ORN_SER_confusion,0.0072647702870902
ENS3,16,SER,ORN_SER_confusion,0.0072647702870902
AN_GNG_197,13,GABA,Dm_GLUT_confusion,0.0108931499140833
CB1079,17,GABA,Dm_GLUT_confusion,0.0108931499140833
LPi09,83,GABA,Dm_GLUT_confusion,0.0108931499140833
Sm17,13,GABA,Dm_GLUT_confusion,0.0108931499140833
AN_GNG_167,10,GLUT,histamine_blindspot,0.0152281627978136
MTe04,30,ACH,histamine_blindspot,0.019550490941863
Mi15,697,ACH,histamine_blindspot,0.019550490941863
Mi13,545,GABA,Dm_GLUT_confusion,0.019550490941863
ORN_DM5,24,ACH,ORN_SER_confusion,0.0216519862595987
Sm22,29,GLUT,Dm_GLUT_confusion,0.0281571673537138
WEDPN6B,14,GLUT,Dm_GLUT_confusion,0.0281571673537138
SA_DMT_ADMN_11,10,ACH,histamine_blindspot,0.032441552792914
SA_VTV_6,12,SER,ORN_SER_confusion,0.0358512734506838
CB4148,14,SER,ORN_SER_confusion,0.0358512734506838
ENS5,10,SER,ORN_SER_confusion,0.0498648170489367
PFGs,17,SER,ORN_SER_confusion,0.0498648170489367
