cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
R7,474,1.6248866708525729,1.1700339983679675,0.060284130640124195,7.545147747089885,0.000999000999000999,0.2007992007992008,GLUT,0.4409282700421941,6,"{""GLUT"": 209, ""GABA"": 184, ""ACH"": 69, ""OCT"": 7, ""DA"": 3, ""SER"": 2}"
R8,475,1.3756291741423423,1.1700708803663848,0.059235422642814985,3.470192067598776,0.000999000999000999,0.2007992007992008,ACH,0.5789473684210527,5,"{""ACH"": 275, ""GLUT"": 152, ""GABA"": 43, ""SER"": 3, ""OCT"": 2}"
Sm19,24,1.3965354233178195,1.0751687191404014,0.25535266372416393,1.2585210566848195,0.07592407592407592,1.0,ACH,0.5833333333333334,3,"{""ACH"": 14, ""GABA"": 5, ""GLUT"": 5}"
Lai,140,1.238858362226506,1.155782884182775,0.10394415994354848,0.7992317999284296,0.22377622377622378,1.0,GABA,0.5,4,"{""GABA"": 70, ""ACH"": 64, ""GLUT"": 5, ""DA"": 1}"
ORN_V,36,1.2539878735947696,1.1084494334952126,0.20759249373096067,0.7010775653968221,0.23676323676323677,1.0,SER,0.4722222222222222,3,"{""SER"": 17, ""ACH"": 17, ""GABA"": 2}"
mAL4,25,1.0783220795483648,1.0845238383846443,0.24528427302881178,-0.025283964437259356,0.5464535464535465,1.0,GLUT,0.68,3,"{""GLUT"": 17, ""GABA"": 7, ""ACH"": 1}"
AN_GNG_175,23,1.0676111603502403,1.0765840165771807,0.26064075392059605,-0.034426144384442706,0.5524475524475524,1.0,ACH,0.7391304347826086,3,"{""ACH"": 17, ""SER"": 4, ""GLUT"": 2}"
LPi08,31,1.0584546687309146,1.1178000436375803,0.22054998676885898,-0.26907902274716927,0.6483516483516484,1.0,GLUT,0.6774193548387096,3,"{""GLUT"": 21, ""GABA"": 9, ""ACH"": 1}"
ORN_DM5,24,1.0,1.0736341912774043,0.260464583802935,-0.2827032765925491,0.6323676323676324,1.0,ACH,0.5,2,"{""ACH"": 12, ""SER"": 12}"
ORN_VM3,23,0.9876925088958034,1.069536191518486,0.2625155660767066,-0.3117669700347141,0.6093906093906094,1.0,SER,0.5652173913043478,2,"{""SER"": 13, ""ACH"": 10}"
