cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
R7,474,1.6248866708525729,1.1948890574291884,0.06052486645182038,7.1044785165395705,0.000999000999000999,0.23376623376623376,GLUT,0.4409282700421941,6,"{""GLUT"": 209, ""GABA"": 184, ""ACH"": 69, ""OCT"": 7, ""DA"": 3, ""SER"": 2}"
R8,475,1.3756291741423423,1.1941201051264176,0.05837299975739351,3.1094696138677502,0.000999000999000999,0.23376623376623376,ACH,0.5789473684210527,5,"{""ACH"": 275, ""GLUT"": 152, ""GABA"": 43, ""SER"": 3, ""OCT"": 2}"
PFGs,17,1.9039678130877662,1.0625050964318095,0.3102542965028516,2.712171035633741,0.000999000999000999,0.23376623376623376,SER,0.35294117647058826,4,"{""SER"": 6, ""DA"": 5, ""GLUT"": 4, ""ACH"": 2}"
Sm19,24,1.3965354233178195,1.1027498048023965,0.2587158237601616,1.135553342836008,0.11188811188811189,1.0,ACH,0.5833333333333334,3,"{""ACH"": 14, ""GABA"": 5, ""GLUT"": 5}"
FR1,10,1.3609640474436813,0.9823201598112106,0.3828525237288647,0.9890071611507136,0.17582417582417584,1.0,ACH,0.5,3,"{""ACH"": 5, ""GABA"": 4, ""DA"": 1}"
Lai,140,1.238858362226506,1.1787852291169727,0.10914303670096105,0.5504073821413497,0.2887112887112887,1.0,GABA,0.5,4,"{""GABA"": 70, ""ACH"": 64, ""GLUT"": 5, ""DA"": 1}"
ORN_V,36,1.2539878735947696,1.1380359936839208,0.2118391529902872,0.5473581171095654,0.2887112887112887,1.0,SER,0.4722222222222222,3,"{""SER"": 17, ""ACH"": 17, ""GABA"": 2}"
AN_GNG_167,10,0.9709505944546686,0.9817486725428844,0.40175650214980085,-0.026877170700250783,0.5134865134865135,1.0,GLUT,0.6,2,"{""GLUT"": 6, ""ACH"": 4}"
AN_GNG_175,23,1.0676111603502403,1.0836597107840558,0.2773245404767567,-0.057869204096492675,0.6033966033966034,1.0,ACH,0.7391304347826086,3,"{""ACH"": 17, ""SER"": 4, ""GLUT"": 2}"
SA_VTV_5,12,1.0,1.0290086467559505,0.3631897392526652,-0.07987187858236726,0.6163836163836164,1.0,GLUT,0.5,2,"{""GLUT"": 6, ""ACH"": 6}"
vDeltaB,11,0.9456603046006401,0.9776310745990774,0.38254377158652897,-0.08357414856303758,0.5434565434565435,1.0,ACH,0.6363636363636364,2,"{""ACH"": 7, ""SER"": 4}"
ENS5,10,0.9709505944546686,1.0052686191687272,0.38341005100848563,-0.08950736847871295,0.5194805194805194,1.0,SER,0.6,2,"{""SER"": 6, ""OCT"": 4}"
mAL4,25,1.0783220795483648,1.1017692699842594,0.25208416182216165,-0.09301334231555548,0.5754245754245755,1.0,GLUT,0.68,3,"{""GLUT"": 17, ""GABA"": 7, ""ACH"": 1}"
WEDPN6B,14,0.9852281360342515,1.038756809025548,0.3334585551648235,-0.16052571500178778,0.5444555444555444,1.0,GLUT,0.5714285714285714,2,"{""GLUT"": 8, ""GABA"": 6}"
CB1008,13,0.9612366047228759,1.020565207210599,0.36112823425435064,-0.16428680136357532,0.6663336663336663,1.0,ACH,0.6153846153846154,2,"{""ACH"": 8, ""SER"": 5}"
LPi08,31,1.0584546687309146,1.1085024754482813,0.22324253349698697,-0.22418580336547791,0.6323676323676324,1.0,GLUT,0.6774193548387096,3,"{""GLUT"": 21, ""GABA"": 9, ""ACH"": 1}"
vDeltaC,10,0.8812908992306927,0.9744280484307413,0.3939514586859552,-0.23641783053859525,0.6923076923076923,1.0,ACH,0.7,2,"{""ACH"": 7, ""SER"": 3}"
AN_GNG_69,10,0.8812908992306927,0.9763153441989431,0.39588915036708555,-0.24002790902488633,0.6933066933066933,1.0,GABA,0.7,2,"{""GABA"": 7, ""SER"": 3}"
DNge094,10,0.8812908992306927,0.9794805266799067,0.39245298295698106,-0.25019462639675516,0.7052947052947053,1.0,ACH,0.7,2,"{""ACH"": 7, ""SER"": 3}"
CRE056,10,0.8812908992306927,0.9861774484993927,0.38630195628958314,-0.2715144139473992,0.6953046953046953,1.0,GABA,0.7,2,"{""GABA"": 7, ""GLUT"": 3}"
LB1a,10,0.8812908992306927,0.9847437044459475,0.37900668367547613,-0.27295773312492844,0.7092907092907093,1.0,ACH,0.7,2,"{""ACH"": 7, ""SER"": 3}"
AN_IPS_GNG_7,12,0.9182958340544896,1.0175847618091327,0.3616048251978168,-0.27457854772907664,0.6323676323676324,1.0,ACH,0.6666666666666666,2,"{""ACH"": 8, ""GABA"": 4}"
