cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
R7,474,6,1.6248866708525729,GLUT,0.4409282700421941,"{'GLUT': np.int64(209), 'GABA': np.int64(184), 'ACH': np.int64(69), 'OCT': np.int64(7), 'DA': np.int64(3), 'SER': np.int64(2)}"
Sm19,24,3,1.3965354233178195,ACH,0.5833333333333334,"{'ACH': np.int64(14), 'GABA': np.int64(5), 'GLUT': np.int64(5)}"
R8,475,5,1.3756291741423423,ACH,0.5789473684210527,"{'ACH': np.int64(275), 'GLUT': np.int64(152), 'GABA': np.int64(43), 'SER': np.int64(3), 'OCT': np.int64(2)}"
ORN_V,36,3,1.2539878735947696,SER,0.4722222222222222,"{'SER': np.int64(17), 'ACH': np.int64(17), 'GABA': np.int64(2)}"
Lai,140,4,1.238858362226506,GABA,0.5,"{'GABA': np.int64(70), 'ACH': np.int64(64), 'GLUT': np.int64(5), 'DA': np.int64(1)}"
mAL4,25,3,1.0783220795483648,GLUT,0.68,"{'GLUT': np.int64(17), 'GABA': np.int64(7), 'ACH': np.int64(1)}"
AN_GNG_175,23,3,1.0676111603502403,ACH,0.7391304347826086,"{'ACH': np.int64(17), 'SER': np.int64(4), 'GLUT': np.int64(2)}"
LPi08,31,3,1.0584546687309146,GLUT,0.6774193548387096,"{'GLUT': np.int64(21), 'GABA': np.int64(9), 'ACH': np.int64(1)}"
T1,296,3,1.0255166818306294,ACH,0.5912162162162162,"{'ACH': np.int64(175), 'GABA': np.int64(119), 'GLUT': np.int64(2)}"
PFNp,158,3,1.0198220093446957,ACH,0.689873417721519,"{'ACH': np.int64(109), 'DA': np.int64(45), 'SER': np.int64(4)}"
ORN_DM5,24,2,1.0,ACH,0.5,"{'ACH': np.int64(12), 'SER': np.int64(12)}"
ORN_DM1,31,2,0.9932338197397066,ACH,0.5483870967741935,"{'ACH': np.int64(17), 'SER': np.int64(14)}"
Sm22,29,2,0.9922666387194963,GLUT,0.5517241379310345,"{'GLUT': np.int64(16), 'GABA': np.int64(13)}"
ORN_VM3,23,2,0.9876925088958034,SER,0.5652173913043478,"{'SER': np.int64(13), 'ACH': np.int64(10)}"
Dm12,152,2,0.9717150802237341,GABA,0.5986842105263158,"{'GABA': np.int64(91), 'GLUT': np.int64(61)}"
Dm16,59,2,0.9646900825612558,GABA,0.6101694915254238,"{'GABA': np.int64(36), 'GLUT': np.int64(23)}"
ORN_VA1v,60,2,0.9603622703154779,ACH,0.6166666666666667,"{'ACH': np.int64(37), 'SER': np.int64(23)}"
Dm4,60,2,0.9603622703154779,GLUT,0.6166666666666667,"{'GLUT': np.int64(37), 'GABA': np.int64(23)}"
MeTu2b,28,3,0.9591963191047147,ACH,0.75,"{'ACH': np.int64(21), 'GABA': np.int64(6), 'DA': np.int64(1)}"
LPi09,83,2,0.9438767571287909,GABA,0.6385542168674698,"{'GABA': np.int64(53), 'GLUT': np.int64(30)}"
PFR,22,3,0.9373012413074896,DA,0.7727272727272727,"{'DA': np.int64(17), 'SER': np.int64(4), 'GLUT': np.int64(1)}"
Mi13,545,2,0.9242909795281409,GABA,0.6605504587155964,"{'GABA': np.int64(360), 'GLUT': np.int64(185)}"
ORN_VL1,30,2,0.9182958340544896,ACH,0.6666666666666666,"{'ACH': np.int64(20), 'SER': np.int64(10)}"
L1,1167,3,0.906940757459057,GLUT,0.7163667523564696,"{'GLUT': np.int64(836), 'GABA': np.int64(323), 'ACH': np.int64(8)}"
Mi2,563,3,0.8991204715122233,GLUT,0.7229129662522202,"{'GLUT': np.int64(407), 'GABA': np.int64(152), 'ACH': np.int64(4)}"
Dm11,107,2,0.8913309584070233,GLUT,0.6915887850467289,"{'GLUT': np.int64(74), 'GABA': np.int64(33)}"
Dm20,62,3,0.8837342952634009,GABA,0.7580645161290323,"{'GABA': np.int64(47), 'GLUT': np.int64(14), 'ACH': np.int64(1)}"
R1-6,4090,5,0.8534416907783804,ACH,0.8193154034229829,"{'ACH': np.int64(3351), 'GLUT': np.int64(595), 'GABA': np.int64(72), 'SER': np.int64(65), 'OCT': np.int64(7)}"
JO-F,43,3,0.8454801825506668,ACH,0.7906976744186046,"{'ACH': np.int64(34), 'SER': np.int64(8), 'GLUT': np.int64(1)}"
Sm04,103,2,0.8299524341722848,GABA,0.7378640776699029,"{'GABA': np.int64(76), 'GLUT': np.int64(27)}"
LB3,84,3,0.8142271109873961,ACH,0.8333333333333334,"{'ACH': np.int64(70), 'SER': np.int64(8), 'GLUT': np.int64(6)}"
TmY16,88,2,0.7927652363756528,GABA,0.7613636363636364,"{'GABA': np.int64(67), 'GLUT': np.int64(21)}"
Tlp14,48,2,0.77655578544446,GLUT,0.7708333333333334,"{'GLUT': np.int64(37), 'GABA': np.int64(11)}"
ocellar_retinula_cell,125,3,0.7665188914976586,SER,0.848,"{'SER': np.int64(106), 'ACH': np.int64(10), 'GLUT': np.int64(9)}"
JO-A,32,2,0.7578784625383954,ACH,0.78125,"{'ACH': np.int64(25), 'SER': np.int64(7)}"
Dm3v,474,3,0.7366993858060326,GLUT,0.8122362869198312,"{'GLUT': np.int64(385), 'GABA': np.int64(86), 'ACH': np.int64(3)}"
Dm8a,268,3,0.728591328781697,GLUT,0.8097014925373134,"{'GLUT': np.int64(217), 'GABA': np.int64(50), 'OCT': np.int64(1)}"
BM_InOm,559,4,0.707971004095603,ACH,0.8604651162790697,"{'ACH': np.int64(481), 'DA': np.int64(60), 'SER': np.int64(16), 'GLUT': np.int64(2)}"
TmY14,262,3,0.679249080722335,GLUT,0.8320610687022901,"{'GLUT': np.int64(218), 'GABA': np.int64(43), 'ACH': np.int64(1)}"
C2,1067,3,0.6585210121699702,GABA,0.8444236176194939,"{'GABA': np.int64(901), 'ACH': np.int64(160), 'GLUT': np.int64(6)}"
MTe04,30,2,0.6500224216483541,ACH,0.8333333333333334,"{'ACH': np.int64(25), 'GLUT': np.int64(5)}"
LPi04,72,2,0.6500224216483541,GLUT,0.8333333333333334,"{'GLUT': np.int64(60), 'GABA': np.int64(12)}"
ORN_VA2,36,2,0.6500224216483541,SER,0.8333333333333334,"{'SER': np.int64(30), 'ACH': np.int64(6)}"
ORN_VA1d,66,2,0.6136190195993708,ACH,0.8484848484848485,"{'ACH': np.int64(56), 'SER': np.int64(10)}"
Mi9,1193,3,0.6046549048915433,GLUT,0.8549874266554903,"{'GLUT': np.int64(1020), 'GABA': np.int64(172), 'ACH': np.int64(1)}"
LPi07,64,2,0.5858732928619205,GABA,0.859375,"{'GABA': np.int64(55), 'GLUT': np.int64(9)}"
ORN_DC1,22,2,0.5746356978376794,ACH,0.8636363636363636,"{'ACH': np.int64(19), 'SER': np.int64(3)}"
LPi02,74,2,0.5713549744279549,GLUT,0.8648648648648649,"{'GLUT': np.int64(64), 'GABA': np.int64(10)}"
Dm1,45,2,0.5665095065529053,GABA,0.8666666666666667,"{'GABA': np.int64(39), 'GLUT': np.int64(6)}"
Mi15,697,4,0.536388541555014,ACH,0.8852223816355811,"{'ACH': np.int64(617), 'GLUT': np.int64(78), 'SER': np.int64(1), 'GABA': np.int64(1)}"
SA_DMT_DMetaN_12,23,3,0.5131851787372753,ACH,0.9130434782608695,"{'ACH': np.int64(21), 'SER': np.int64(1), 'GLUT': np.int64(1)}"
Dm15,312,3,0.5012507930905181,GLUT,0.9006410256410257,"{'GLUT': np.int64(281), 'GABA': np.int64(29), 'ACH': np.int64(2)}"
