cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
PFGs,17,4,1.9039678130877662,SER,0.35294117647058826,"{""SER"": 6, ""DA"": 5, ""GLUT"": 4, ""ACH"": 2}"
R7,474,6,1.6248866708525729,GLUT,0.4409282700421941,"{""GLUT"": 209, ""GABA"": 184, ""ACH"": 69, ""OCT"": 7, ""DA"": 3, ""SER"": 2}"
Sm19,24,3,1.3965354233178195,ACH,0.5833333333333334,"{""ACH"": 14, ""GABA"": 5, ""GLUT"": 5}"
R8,475,5,1.3756291741423423,ACH,0.5789473684210527,"{""ACH"": 275, ""GLUT"": 152, ""GABA"": 43, ""SER"": 3, ""OCT"": 2}"
FR1,10,3,1.3609640474436813,ACH,0.5,"{""ACH"": 5, ""GABA"": 4, ""DA"": 1}"
ORN_V,36,3,1.2539878735947696,SER,0.4722222222222222,"{""SER"": 17, ""ACH"": 17, ""GABA"": 2}"
Lai,140,4,1.238858362226506,GABA,0.5,"{""GABA"": 70, ""ACH"": 64, ""GLUT"": 5, ""DA"": 1}"
mAL4,25,3,1.0783220795483648,GLUT,0.68,"{""GLUT"": 17, ""GABA"": 7, ""ACH"": 1}"
AN_GNG_175,23,3,1.0676111603502403,ACH,0.7391304347826086,"{""ACH"": 17, ""SER"": 4, ""GLUT"": 2}"
LPi08,31,3,1.0584546687309146,GLUT,0.6774193548387096,"{""GLUT"": 21, ""GABA"": 9, ""ACH"": 1}"
T1,296,3,1.0255166818306294,ACH,0.5912162162162162,"{""ACH"": 175, ""GABA"": 119, ""GLUT"": 2}"
PFNp,158,3,1.0198220093446957,ACH,0.689873417721519,"{""ACH"": 109, ""DA"": 45, ""SER"": 4}"
ORN_DM5,24,2,1.0,ACH,0.5,"{""ACH"": 12, ""SER"": 12}"
SA_VTV_5,12,2,1.0,GLUT,0.5,"{""GLUT"": 6, ""ACH"": 6}"
LMa3,19,2,0.9980008838722996,GABA,0.5263157894736842,"{""GABA"": 10, ""GLUT"": 9}"
ORN_DM1,31,2,0.9932338197397066,ACH,0.5483870967741935,"{""ACH"": 17, ""SER"": 14}"
Sm22,29,2,0.9922666387194963,GLUT,0.5517241379310345,"{""GLUT"": 16, ""GABA"": 13}"
ORN_VM3,23,2,0.9876925088958034,SER,0.5652173913043478,"{""SER"": 13, ""ACH"": 10}"
WEDPN6B,14,2,0.9852281360342515,GLUT,0.5714285714285714,"{""GLUT"": 8, ""GABA"": 6}"
vDeltaA_b,17,2,0.9774178175281716,SER,0.5882352941176471,"{""SER"": 10, ""ACH"": 7}"
Dm12,152,2,0.9717150802237341,GABA,0.5986842105263158,"{""GABA"": 91, ""GLUT"": 61}"
ENS5,10,2,0.9709505944546686,SER,0.6,"{""SER"": 6, ""OCT"": 4}"
AN_GNG_167,10,2,0.9709505944546686,GLUT,0.6,"{""GLUT"": 6, ""ACH"": 4}"
Dm16,59,2,0.9646900825612558,GABA,0.6101694915254238,"{""GABA"": 36, ""GLUT"": 23}"
CB1008,13,2,0.9612366047228759,ACH,0.6153846153846154,"{""ACH"": 8, ""SER"": 5}"
Dm4,60,2,0.9603622703154779,GLUT,0.6166666666666667,"{""GLUT"": 37, ""GABA"": 23}"
ORN_VA1v,60,2,0.9603622703154779,ACH,0.6166666666666667,"{""ACH"": 37, ""SER"": 23}"
MeTu2b,28,3,0.9591963191047147,ACH,0.75,"{""ACH"": 21, ""GABA"": 6, ""DA"": 1}"
vDeltaB,11,2,0.9456603046006401,ACH,0.6363636363636364,"{""ACH"": 7, ""SER"": 4}"
LPi09,83,2,0.9438767571287909,GABA,0.6385542168674698,"{""GABA"": 53, ""GLUT"": 30}"
PFR,22,3,0.9373012413074896,DA,0.7727272727272727,"{""DA"": 17, ""SER"": 4, ""GLUT"": 1}"
LHAV4a4,17,2,0.9366673818775626,GLUT,0.6470588235294118,"{""GLUT"": 11, ""GABA"": 6}"
Mi13,545,2,0.9242909795281409,GABA,0.6605504587155964,"{""GABA"": 360, ""GLUT"": 185}"
AN_IPS_GNG_7,12,2,0.9182958340544896,ACH,0.6666666666666666,"{""ACH"": 8, ""GABA"": 4}"
ORN_VL1,30,2,0.9182958340544896,ACH,0.6666666666666666,"{""ACH"": 20, ""SER"": 10}"
L1,1167,3,0.906940757459057,GLUT,0.7163667523564696,"{""GLUT"": 836, ""GABA"": 323, ""ACH"": 8}"
DmDRA2,19,2,0.8997437586982626,GLUT,0.6842105263157895,"{""GLUT"": 13, ""GABA"": 6}"
Mi2,563,3,0.8991204715122233,GLUT,0.7229129662522202,"{""GLUT"": 407, ""GABA"": 152, ""ACH"": 4}"
Dm11,107,2,0.8913309584070233,GLUT,0.6915887850467289,"{""GLUT"": 74, ""GABA"": 33}"
AN_GNG_197,13,2,0.8904916402194913,GABA,0.6923076923076923,"{""GABA"": 9, ""GLUT"": 4}"
Dm20,62,3,0.8837342952634009,GABA,0.7580645161290323,"{""GABA"": 47, ""GLUT"": 14, ""ACH"": 1}"
FC2A,10,2,0.8812908992306927,ACH,0.7,"{""ACH"": 7, ""SER"": 3}"
CRE056,10,2,0.8812908992306927,GABA,0.7,"{""GABA"": 7, ""GLUT"": 3}"
LB1a,10,2,0.8812908992306927,ACH,0.7,"{""ACH"": 7, ""SER"": 3}"
DNge094,10,2,0.8812908992306927,ACH,0.7,"{""ACH"": 7, ""SER"": 3}"
AN_GNG_69,10,2,0.8812908992306927,GABA,0.7,"{""GABA"": 7, ""SER"": 3}"
vDeltaC,10,2,0.8812908992306927,ACH,0.7,"{""ACH"": 7, ""SER"": 3}"
R1-6,4090,5,0.8534416907783804,ACH,0.8193154034229829,"{""ACH"": 3351, ""GLUT"": 595, ""GABA"": 72, ""SER"": 65, ""OCT"": 7}"
JO-F,43,3,0.8454801825506668,ACH,0.7906976744186046,"{""ACH"": 34, ""SER"": 8, ""GLUT"": 1}"
Dm19,11,2,0.8453509366224364,GABA,0.7272727272727273,"{""GABA"": 8, ""GLUT"": 3}"
Sm04,103,2,0.8299524341722848,GABA,0.7378640776699029,"{""GABA"": 76, ""GLUT"": 27}"
