fafb_cell_type,fafb_n,fafb_entropy,fafb_dominant_nt,mcns_match,match_method,mcns_n,mcns_majority_nt,mcns_majority_frac
R7,474,1.6248866708525729,GLUT,"R7_unclear,R7d,R7p,R7y",subtype_group,287,HIST,1.0
R8,475,1.3756291741423423,ACH,"R8_unclear,R8d,R8p,R8y",subtype_group,1010,HIST,1.0
ORN_V,36,1.2539878735947696,SER,ORN_V,exact,51,ACH,1.0
Lai,140,1.238858362226506,GABA,Lai,exact,32,HIST,1.0
T1,296,1.0255166818306294,ACH,T1,exact,1,HIST,1.0
ORN_DM5,24,1.0,ACH,ORN_DM5,exact,31,ACH,1.0
ORN_DM1,31,0.9932338197397066,ACH,ORN_DM1,exact,74,ACH,1.0
ORN_VM3,23,0.9876925088958034,SER,ORN_VM3,exact,40,ACH,1.0
Dm12,152,0.971715080223734,GABA,Dm12,exact,276,GLUT,1.0
Dm16,59,0.9646900825612558,GABA,Dm16,exact,150,GLUT,1.0
ORN_VA1v,60,0.960362270315478,ACH,ORN_VA1v,exact,120,ACH,1.0
Dm4,60,0.960362270315478,GLUT,Dm4,exact,99,GLUT,1.0
MeTu2b,28,0.9591963191047148,ACH,MeTu2b,exact,26,ACH,1.0
Mi13,545,0.9242909795281408,GABA,Mi13,exact,825,GLUT,1.0
ORN_VL1,30,0.9182958340544896,ACH,ORN_VL1,exact,70,ACH,1.0
L1,1167,0.906940757459057,GLUT,L1,exact,1771,GLUT,1.0
Mi2,563,0.8991204715122233,GLUT,Mi2,exact,966,GLUT,1.0
Dm11,107,0.8913309584070233,GLUT,Dm11,exact,157,GLUT,1.0
Dm20,62,0.8837342952634009,GABA,Dm20,exact,98,GLUT,1.0
R1-6,4090,0.8534416907783804,ACH,R1-R6,variant (R1-6 -> R1-R6),750,HIST,1.0
JO-F,43,0.8454801825506668,ACH,JO-F,exact,47,ACH,1.0
TmY16,88,0.7927652363756528,GABA,TmY16,exact,168,GLUT,1.0
Tlp14,48,0.77655578544446,GLUT,Tlp14,exact,58,GLUT,1.0
JO-A,32,0.7578784625383954,ACH,JO-A,exact,18,ACH,1.0
Dm8a,268,0.728591328781697,GLUT,Dm8a,exact,561,GLUT,0.9982174688057041
BM_InOm,559,0.707971004095603,ACH,BM_InOm,exact,168,ACH,0.9940476190476191
TmY14,262,0.679249080722335,GLUT,TmY14,exact,387,GLUT,0.5426356589147286
C2,1067,0.6585210121699702,GABA,C2,exact,585,GABA,0.9333333333333333
ORN_VA2,36,0.6500224216483541,SER,ORN_VA2,exact,80,ACH,1.0
