fafb_cell_type,fafb_n,fafb_entropy,fafb_dominant_nt,fafb_dominant_frac,mcns_match,mcns_match_method,mcns_n,mcns_confirmed_nt,mcns_confirmed_frac,agrees_with_mcns,is_categorical_blindspot
R7,474,1.6248866708525729,GLUT,0.4409282700421941,"R7y,R7p,R7d,R7_unclear",explicit_subtype_group,287,HIST,1.0,False,True
R8,475,1.3756291741423423,ACH,0.5789473684210527,"R8y,R8p,R8d,R8_unclear",explicit_subtype_group,1010,HIST,1.0,False,True
ORN_V,36,1.2539878735947696,SER,0.4722222222222222,ORN_V,exact,51,ACH,1.0,False,False
Lai,140,1.238858362226506,GABA,0.5,Lai,exact,33,HIST,1.0,False,True
PFNp,158,1.0198220093446957,ACH,0.689873417721519,"PFNp_a,PFNp_b,PFNp_c,PFNp_d,PFNp_e",subtype_group,178,ACH,1.0,True,False
ORN_DM5,24,1.0,ACH,0.5,ORN_DM5,exact,31,ACH,1.0,True,False
ORN_DM1,31,0.9932338197397066,ACH,0.5483870967741935,ORN_DM1,exact,74,ACH,1.0,True,False
ORN_VM3,23,0.9876925088958034,SER,0.5652173913043478,ORN_VM3,exact,40,ACH,1.0,False,False
Dm12,152,0.971715080223734,GABA,0.5986842105263158,Dm12,exact,276,GLUT,1.0,False,False
Dm16,59,0.9646900825612558,GABA,0.6101694915254238,Dm16,exact,150,GLUT,1.0,False,False
ORN_VA1v,60,0.960362270315478,ACH,0.6166666666666667,ORN_VA1v,exact,120,ACH,1.0,True,False
Dm4,60,0.960362270315478,GLUT,0.6166666666666667,Dm4,exact,99,GLUT,1.0,True,False
MeTu2b,28,0.9591963191047148,ACH,0.75,MeTu2b,exact,26,ACH,1.0,True,False
Mi13,545,0.9242909795281408,GABA,0.6605504587155964,Mi13,exact,825,GLUT,1.0,False,False
ORN_VL1,30,0.9182958340544896,ACH,0.6666666666666666,ORN_VL1,exact,70,ACH,1.0,True,False
L1,1167,0.906940757459057,GLUT,0.7163667523564696,L1,exact,1771,GLUT,1.0,True,False
Mi2,563,0.8991204715122233,GLUT,0.7229129662522202,Mi2,exact,966,GLUT,1.0,True,False
Dm11,107,0.8913309584070233,GLUT,0.6915887850467289,Dm11,exact,157,GLUT,1.0,True,False
Dm20,62,0.8837342952634009,GABA,0.7580645161290323,Dm20,exact,98,GLUT,1.0,False,False
R1-6,4090,0.8534416907783804,ACH,0.8193154034229829,R1-R6,range_notation,750,HIST,1.0,False,True
TmY16,88,0.7927652363756528,GABA,0.7613636363636364,TmY16,exact,168,GLUT,1.0,False,False
Tlp14,48,0.77655578544446,GLUT,0.7708333333333334,Tlp14,exact,58,GLUT,1.0,True,False
Dm8a,268,0.728591328781697,GLUT,0.8097014925373134,Dm8a,exact,562,GLUT,0.998220640569395,True,False
BM_InOm,559,0.707971004095603,ACH,0.8604651162790697,BM_InOm,exact,168,ACH,0.9940476190476191,True,False
C2,1067,0.6585210121699702,GABA,0.8444236176194939,C2,exact,588,GABA,0.9336734693877551,True,False
