fafb_cell_type,fafb_n,fafb_entropy,fafb_dominant_nt,fafb_dominant_frac,mcns_match,mcns_n,mcns_confirmed_nt,mcns_confirmed_frac,agrees_with_mcns,is_categorical_blindspot
PFGs,17,1.9039678130877664,SER,0.3529411764705882,PFGs,18,SER,1.0,True,False
R7,474,1.6248866708525729,GLUT,0.4409282700421941,"R7_unclear,R7d,R7p,R7y",287,HIST,1.0,False,True
R8,475,1.3756291741423423,ACH,0.5789473684210527,"R8_unclear,R8d,R8p,R8y",1010,HIST,1.0,False,True
ORN_V,36,1.2539878735947696,SER,0.4722222222222222,ORN_V,51,ACH,1.0,False,False
Lai,140,1.238858362226506,GABA,0.5,Lai,32,HIST,1.0,False,True
PFNp,158,1.0198220093446957,ACH,0.689873417721519,"PFNp_a,PFNp_b,PFNp_c,PFNp_d,PFNp_e",178,ACH,1.0,True,False
ORN_DM5,24,1.0,ACH,0.5,ORN_DM5,31,ACH,1.0,True,False
ORN_DM1,31,0.9932338197397066,ACH,0.5483870967741935,ORN_DM1,74,ACH,1.0,True,False
ORN_VM3,23,0.9876925088958034,SER,0.5652173913043478,ORN_VM3,40,ACH,1.0,False,False
vDeltaA_b,17,0.9774178175281716,SER,0.5882352941176471,vDeltaA_b,28,ACH,1.0,False,False
Dm12,152,0.971715080223734,GABA,0.5986842105263158,Dm12,276,GLUT,1.0,False,False
Dm16,59,0.9646900825612558,GABA,0.6101694915254238,Dm16,150,GLUT,1.0,False,False
CB1008,13,0.961236604722876,ACH,0.6153846153846154,CB1008,19,ACH,1.0,True,False
Dm4,60,0.960362270315478,GLUT,0.6166666666666667,Dm4,99,GLUT,1.0,True,False
ORN_VA1v,60,0.960362270315478,ACH,0.6166666666666667,ORN_VA1v,120,ACH,1.0,True,False
MeTu2b,28,0.9591963191047148,ACH,0.75,MeTu2b,26,ACH,1.0,True,False
vDeltaB,11,0.94566030460064,ACH,0.6363636363636364,vDeltaB,31,ACH,1.0,True,False
Mi13,545,0.9242909795281408,GABA,0.6605504587155964,Mi13,825,GLUT,1.0,False,False
ORN_VL1,30,0.9182958340544896,ACH,0.6666666666666666,ORN_VL1,70,ACH,1.0,True,False
L1,1167,0.906940757459057,GLUT,0.7163667523564696,L1,1771,GLUT,1.0,True,False
Mi2,563,0.8991204715122233,GLUT,0.7229129662522202,Mi2,966,GLUT,1.0,True,False
Dm11,107,0.8913309584070233,GLUT,0.6915887850467289,Dm11,157,GLUT,1.0,True,False
Dm20,62,0.8837342952634009,GABA,0.7580645161290323,Dm20,98,GLUT,1.0,False,False
FC2A,10,0.8812908992306927,ACH,0.7,FC2A,18,ACH,1.0,True,False
DNge094,10,0.8812908992306927,ACH,0.7,DNge094,13,ACH,1.0,True,False
vDeltaC,10,0.8812908992306927,ACH,0.7,vDeltaC,27,ACH,1.0,True,False
JO-F,43,0.8454801825506668,ACH,0.7906976744186046,JO-F,47,ACH,1.0,True,False
Dm19,11,0.8453509366224364,GABA,0.7272727272727273,Dm19,30,GLUT,1.0,False,False
TmY16,88,0.7927652363756528,GABA,0.7613636363636364,TmY16,168,GLUT,1.0,False,False
Tlp14,48,0.77655578544446,GLUT,0.7708333333333334,Tlp14,58,GLUT,1.0,True,False
JO-A,32,0.7578784625383954,ACH,0.78125,JO-A,18,ACH,1.0,True,False
Dm8a,268,0.728591328781697,GLUT,0.8097014925373134,Dm8a,561,GLUT,0.9982174688057041,True,False
BM_InOm,559,0.707971004095603,ACH,0.8604651162790697,BM_InOm,168,ACH,0.9940476190476191,True,False
C2,1067,0.6585210121699702,GABA,0.8444236176194939,C2,585,GABA,0.9333333333333333,True,False
ORN_VA2,36,0.6500224216483541,SER,0.8333333333333334,ORN_VA2,80,ACH,1.0,False,False
ORN_DA3,13,0.6193821946787638,SER,0.8461538461538461,ORN_DA3,20,ACH,1.0,False,False
ORN_VA1d,66,0.6136190195993708,ACH,0.8484848484848485,ORN_VA1d,79,ACH,1.0,True,False
Mi9,1193,0.6046549048915433,GLUT,0.8549874266554903,Mi9,1760,GLUT,0.9994318181818181,True,False
ORN_DC1,22,0.5746356978376794,ACH,0.8636363636363636,ORN_DC1,32,ACH,1.0,True,False
Dm1,45,0.5665095065529053,GABA,0.8666666666666667,Dm1,80,GLUT,1.0,False,False
Mi15,697,0.536388541555014,ACH,0.8852223816355811,Mi15,1138,ACH,1.0,True,False
Dm15,312,0.5012507930905181,GLUT,0.9006410256410257,Dm15,484,GLUT,1.0,True,False
hDeltaJ,28,0.4912373418243331,ACH,0.8928571428571429,hDeltaJ,31,ACH,1.0,True,False
WED040,10,0.4689955935892812,GLUT,0.9,"WED040_a,WED040_b,WED040_c",21,GLUT,1.0,True,False
TuBu05,10,0.4689955935892812,ACH,0.9,TuBu05,10,ACH,1.0,True,False
LB1c,10,0.4689955935892812,SER,0.9,LB1c,14,ACH,1.0,False,False
ORN_DA1,102,0.4305518670104394,ACH,0.9117647058823528,ORN_DA1,189,ACH,1.0,True,False
ORN_DA4m,23,0.4262286569981449,SER,0.9130434782608696,ORN_DA4m,35,ACH,1.0,False,False
CL123,12,0.4138168503036337,ACH,0.9166666666666666,"CL123_a,CL123_b,CL123_c,CL123_d,CL123_e",10,ACH,1.0,True,False
LC24,73,0.409855370318405,ACH,0.9178082191780822,LC24,94,ACH,0.9893617021276596,True,False
L4,1110,0.3976686342847273,ACH,0.9378378378378378,L4,789,ACH,1.0,True,False
Tm33,104,0.3956193268288006,GLUT,0.9326923076923076,Tm33,280,ACH,1.0,False,False
Dm8b,331,0.3520569755296152,GLUT,0.9516616314199396,Dm8b,501,GLUT,0.9740518962075848,True,False
ORN_DA4l,32,0.3372900666170139,SER,0.9375,ORN_DA4l,30,ACH,1.0,False,False
ORN_VM2,32,0.3372900666170139,ACH,0.9375,ORN_VM2,38,ACH,1.0,True,False
vDeltaI_a,16,0.3372900666170139,ACH,0.9375,vDeltaI_a,17,ACH,1.0,True,False
EL,16,0.3372900666170139,GABA,0.9375,EL,18,OCT,1.0,False,False
ORN_VC2,16,0.3372900666170139,ACH,0.9375,ORN_VC2,32,ACH,1.0,True,False
ORN_DM2,35,0.3159971329784246,SER,0.9428571428571428,ORN_DM2,51,ACH,1.0,False,False
JO-B,86,0.3091234537620242,ACH,0.9534883720930232,JO-B,46,ACH,1.0,True,False
