cell_type,n_neurons,entropy,dominant_nt,dominant_frac,p_ACH,p_GABA,p_GLUT,p_DA,p_SER,p_OCT,p_fast_transmitters,is_seed,already_name_matched,literature_confirmed,entropy_z,js_histamine_blindspot,js_ORN_SER_confusion,js_Dm_GLUT_confusion,best_pattern_heuristic,best_js_heuristic,pattern_threshold_heuristic,in_neighborhood_heuristic,best_pattern_calibrated,best_js_calibrated,best_p_calibrated,best_q_calibrated,significant,q_Dm_GLUT_confusion,q_ORN_SER_confusion,q_histamine_blindspot,p_Dm_GLUT_confusion,p_ORN_SER_confusion,p_histamine_blindspot,matched_patterns,entropy_p_value,entropy_z_reconstructed,entropy_q_value,entropy_channel_significant,best_pattern,best_js,in_neighborhood,is_novel_candidate,gt_verified_nt,gt_agrees_with_pattern
LPi07,64,0.5858732928619205,GABA,0.859375,0.0,0.859375,0.140625,0.0,0.0,0.0,1.0,False,False,False,-3.679064215779391,0.20997631364417085,0.8488989244733905,8.111605224043724e-05,Dm_GLUT_confusion,8.111605224043724e-05,0.12,True,Dm_GLUT_confusion,8.111605224043724e-05,0.002575658943564707,0.5177074476565061,True,0.5177074476565061,0.9999999531006136,0.9380801404398125,0.002575658943564707,0.984331614769228,0.4416359988222781,Dm_GLUT_confusion,0.9993500324983751,-3.5206870283309573,1.0,False,Dm_GLUT_confusion,8.111605224043724e-05,True,True,,
ocellar_retinula_cell,125,0.7665188914976586,SER,0.848,0.08,0.0,0.072,0.0,0.848,0.0,0.152,False,False,False,-3.316788434159704,0.6485390323014476,0.03697123741224691,0.8544279193879306,ORN_SER_confusion,0.03697123741224691,0.12,True,ORN_SER_confusion,0.03697123741224691,0.011538334371431147,0.6626300596164745,True,0.9780379822510362,0.6626300596164745,0.9380801404398125,0.9650849585503242,0.011538334371431147,0.12222890079812254,ORN_SER_confusion,0.9991000449977501,-3.420588303522491,1.0,False,ORN_SER_confusion,0.03697123741224691,True,True,,
hDeltaK,26,-0.0,SER,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,False,-4.339721321927009,0.9409627085521443,0.0,0.999999999997836,ORN_SER_confusion,0.0,0.12,True,ORN_SER_confusion,0.0,0.011538334371431147,0.6626300596164745,True,0.9780379822510362,0.6626300596164745,0.9380801404398125,0.4547623950472951,0.011538334371431147,0.20457084103849343,ORN_SER_confusion,1.0,-4.464614471036916,1.0,False,ORN_SER_confusion,0.0,True,True,ACH,True
Sm22,29,0.9922666387194964,GLUT,0.5517241379310345,0.0,0.4482758620689655,0.5517241379310345,0.0,0.0,0.0,1.0,False,False,False,-0.4418165424821053,0.09147094649115284,0.8738612059914573,0.016417804866978476,Dm_GLUT_confusion,0.016417804866978476,0.12,True,Dm_GLUT_confusion,0.016417804866978476,0.01284508183653943,0.9353203695817162,True,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.01284508183653943,0.9874711872061072,0.14332261998204732,Dm_GLUT_confusion,0.711814409279536,-0.44010014383784196,1.0,False,Dm_GLUT_confusion,0.016417804866978476,True,True,,
Dm4,60,0.960362270315478,GLUT,0.6166666666666667,0.0,0.38333333333333336,0.6166666666666667,0.0,0.0,0.0,1.0,False,False,False,-1.031007810280207,0.09603548638092133,0.8797466371105476,0.03372805092646519,Dm_GLUT_confusion,0.03372805092646519,0.12,True,Dm_GLUT_confusion,0.03372805092646519,0.03828614889998949,0.9353203695817162,True,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.03828614889998949,0.9874711872061072,0.13632936962704623,Dm_GLUT_confusion,0.8667066646667667,-1.074617470474778,1.0,False,Dm_GLUT_confusion,0.03372805092646519,True,True,GLUT,True
LPi09,83,0.9438767571287908,GABA,0.6385542168674698,0.0,0.6385542168674698,0.3614457831325301,0.0,0.0,0.0,1.0,False,False,False,-1.4716104503267164,0.11053085642436909,0.8603745824616036,0.001215475121429263,Dm_GLUT_confusion,0.001215475121429263,0.12,True,Dm_GLUT_confusion,0.001215475121429263,0.01284508183653943,0.9353203695817162,True,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.01284508183653943,0.9869903944376146,0.10079173645366413,Dm_GLUT_confusion,0.9243537823108845,-1.468307746336656,1.0,False,Dm_GLUT_confusion,0.001215475121429263,True,True,,
Sm04,103,0.8299524341722848,GABA,0.7378640776699029,0.0,0.7378640776699029,0.2621359223300971,0.0,0.0,0.0,1.0,False,False,False,-2.564156933190959,0.14184329106787105,0.8548043047950109,0.015846204882982114,Dm_GLUT_confusion,0.015846204882982114,0.12,True,Dm_GLUT_confusion,0.015846204882982114,0.028149577532149972,0.9353203695817162,True,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.028149577532149972,0.984899019053179,0.12222890079812254,Dm_GLUT_confusion,0.9926503674816259,-2.569105012460341,1.0,False,Dm_GLUT_confusion,0.015846204882982114,True,True,,
TmY16,88,0.7927652363756528,GABA,0.7613636363636364,0.0,0.7613636363636364,0.23863636363636365,0.0,0.0,0.0,1.0,False,False,False,-2.595544153713798,0.15199025230522079,0.8535922843075833,0.013358727466831928,Dm_GLUT_confusion,0.013358727466831928,0.12,True,Dm_GLUT_confusion,0.013358727466831928,0.028149577532149972,0.9353203695817162,True,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.028149577532149972,0.984899019053179,0.4363767176709239,Dm_GLUT_confusion,0.9929503524823758,-2.6429814490264856,1.0,False,Dm_GLUT_confusion,0.013358727466831928,True,True,GLUT,True
Mi13,545,0.9242909795281408,GABA,0.6605504587155964,0.0,0.6605504587155964,0.3394495412844037,0.0,0.0,0.0,1.0,False,False,False,-4.423730314661787,0.11602318764297752,0.8590723093535988,0.0029624303677768145,Dm_GLUT_confusion,0.0029624303677768145,0.12,True,Dm_GLUT_confusion,0.0029624303677768145,0.01284508183653943,0.9353203695817162,True,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.01284508183653943,0.9859793326517474,0.09356921449755273,Dm_GLUT_confusion,0.999950002499875,-4.516470914472982,1.0,False,Dm_GLUT_confusion,0.0029624303677768145,True,True,,
Sm19,24,1.3965354233178195,ACH,0.5833333333333334,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.0,0.0,0.0,1.0,False,False,False,1.264755955783049,0.031058327154165427,0.3784813438611033,0.3851227164618486,histamine_blindspot,0.031058327154165427,0.24906688471870347,True,histamine_blindspot,0.031058327154165427,0.003860999589255898,0.9380801404398125,True,0.9780379822510362,0.9999999531006136,0.9380801404398125,0.8632144090764162,0.9998533502221107,0.003860999589255898,histamine_blindspot,0.08784560771961401,1.249056280446267,1.0,False,histamine_blindspot,0.031058327154165427,True,True,,
