fafb_cell_type,fafb_n,fafb_entropy,fafb_dominant_nt,fafb_dominant_frac,mcns_match,mcns_n,mcns_confirmed_nt,mcns_confirmed_frac,agrees_with_mcns,is_categorical_blindspot,pattern
R7,474,1.6248866708525729,GLUT,0.4409282700421941,"R7_unclear,R7d,R7p,R7y",287,HIST,1.0,False,True,categorical_blindspot_HIST
R8,475,1.3756291741423423,ACH,0.5789473684210527,"R8_unclear,R8d,R8p,R8y",1010,HIST,1.0,False,True,categorical_blindspot_HIST
Lai,140,1.238858362226506,GABA,0.5,Lai,32,HIST,1.0,False,True,categorical_blindspot_HIST
ORN_V,36,1.2539878735947696,SER,0.4722222222222222,ORN_V,51,ACH,1.0,False,False,ORN_SER_confusion
ORN_VM3,23,0.9876925088958034,SER,0.5652173913043478,ORN_VM3,40,ACH,1.0,False,False,ORN_SER_confusion
ORN_VA2,36,0.6500224216483541,SER,0.8333333333333334,ORN_VA2,80,ACH,1.0,False,False,ORN_SER_confusion
ORN_DA3,13,0.6193821946787638,SER,0.8461538461538461,ORN_DA3,20,ACH,1.0,False,False,ORN_SER_confusion
ORN_DA4m,23,0.4262286569981449,SER,0.9130434782608696,ORN_DA4m,35,ACH,1.0,False,False,ORN_SER_confusion
ORN_DA4l,32,0.3372900666170139,SER,0.9375,ORN_DA4l,30,ACH,1.0,False,False,ORN_SER_confusion
ORN_DM2,35,0.3159971329784246,SER,0.9428571428571428,ORN_DM2,51,ACH,1.0,False,False,ORN_SER_confusion
ORN_DM3,41,0.1654270339962668,SER,0.975609756097561,ORN_DM3,49,ACH,1.0,False,False,ORN_SER_confusion
ORN_DL4,41,-0.0,SER,1.0,ORN_DL4,23,ACH,1.0,False,False,ORN_SER_confusion
ORN_DL3,68,-0.0,SER,1.0,ORN_DL3,45,ACH,1.0,False,False,ORN_SER_confusion
Dm12,152,0.971715080223734,GABA,0.5986842105263158,Dm12,276,GLUT,1.0,False,False,Dm_GLUT_confusion
Dm16,59,0.9646900825612558,GABA,0.6101694915254238,Dm16,150,GLUT,1.0,False,False,Dm_GLUT_confusion
Dm20,62,0.8837342952634009,GABA,0.7580645161290323,Dm20,98,GLUT,1.0,False,False,Dm_GLUT_confusion
Dm19,11,0.8453509366224364,GABA,0.7272727272727273,Dm19,30,GLUT,1.0,False,False,Dm_GLUT_confusion
Dm1,45,0.5665095065529053,GABA,0.8666666666666667,Dm1,80,GLUT,1.0,False,False,Dm_GLUT_confusion
Dm6,48,0.1460942501201363,GABA,0.9791666666666666,Dm6,62,GLUT,1.0,False,False,Dm_GLUT_confusion
Dm9,179,0.0498462202138721,ACH,0.994413407821229,Dm9,264,GLUT,0.9962121212121212,False,False,Dm_GLUT_confusion
